
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0402_0P1UF_X5R_35V            C153                             322   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C153                             322   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C154                             314   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P1UF_X5R_35V            C154                             314   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C155                             307   1      1   1   1 1           1 0 HDMI_DVDD           (346-141-13)
CAP0402_0P1UF_X5R_35V            C155                             307   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C156                             308   1      1   1   1 1           1 0 HDMI_BGVDD          (346-147-13)
CAP0402_0P1UF_X5R_35V            C156                             308   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C157                             309   1      1   1   1 1           1 0 HDMI_AVDD           (346-151-13)
CAP0402_0P1UF_X5R_35V            C157                             309   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C158                             310   1      1   1   1 1           1 0 HDMI_DVDD           (346-141-13)
CAP0402_0P1UF_X5R_35V            C158                             310   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C159                             311   1      1   1   1 1           1 0 HDMI_PVDD           (346-128-13)
CAP0402_0P1UF_X5R_35V            C159                             311   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C160                             312   1      1   1   1 1           1 0 HDMI_AVDD           (346-151-13)
CAP0402_0P1UF_X5R_35V            C160                             312   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C161                             316   1      1   1   1 1           1 0 HDMI_5V             (346-129-13)
CAP0402_0P1UF_X5R_35V            C161                             316   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C162                             315   1      1   1   1 1           1 0 SYS_5P0V            (76-235-13)
CAP0402_0P1UF_X5R_35V            C162                             315   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C163                             313   1      1   1   1 1           1 0 DVDD_3V             (346-146-13)
CAP0402_0P1UF_X5R_35V            C163                             313   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C164                             273   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C164                             273   1      2   2   1 2           2 0 3P3V                (76-222-13)
CAP0402_0P1UF_X5R_35V            C165                             271   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C165                             271   1      2   2   1 2           2 0 3P3V                (76-222-13)
CAP0402_0P1UF_X5R_35V            C166                             272   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C166                             272   1      2   2   1 2           2 0 3P3V                (76-222-13)
CAP0402_0P1UF_X5R_35V            C167                             303   1      1   1   1 1           1 0 RJ45-1P8V           (293-22-13)
CAP0402_0P1UF_X5R_35V            C167                             303   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C168                             304   1      1   1   1 1           1 0 RJ45-1P8V           (293-22-13)
CAP0402_0P1UF_X5R_35V            C168                             304   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C169                             295   1      1   1   1 1           1 0 AVDDC_18            (293-1-13)
CAP0402_0P1UF_X5R_35V            C169                             295   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C170                             293   1      1   1   1 1           1 0 1P0V_FLTR_PHY       (293-16-13)
CAP0402_0P1UF_X5R_35V            C170                             293   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C171                             305   1      1   1   1 1           1 0 RJ45-1P8V           (293-22-13)
CAP0402_0P1UF_X5R_35V            C171                             305   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C172                             296   1      1   1   1 1           1 0 AVDDC_18            (293-1-13)
CAP0402_0P1UF_X5R_35V            C172                             296   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C173                             300   1      1   1   1 1           1 0 AVDD_18             (293-10-13)
CAP0402_0P1UF_X5R_35V            C173                             300   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C174                             290   1      1   1   1 1           1 0 1P8V_FLTR_PHY       (293-7-13)
CAP0402_0P1UF_X5R_35V            C174                             290   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C175                             297   1      1   1   1 1           1 0 AVDDC_18            (293-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0402_0P1UF_X5R_35V            C175                             297   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C176                             301   1      1   1   1 1           1 0 AVDD_18             (293-10-13)
CAP0402_0P1UF_X5R_35V            C176                             301   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C177                             291   1      1   1   1 1           1 0 1P8V_FLTR_PHY       (293-7-13)
CAP0402_0P1UF_X5R_35V            C177                             291   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C178                             302   1      1   1   1 1           1 0 AVDD_18             (293-10-13)
CAP0402_0P1UF_X5R_35V            C178                             302   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C179                             306   1      1   1   1 1           1 0 RJ45-1P8V           (293-22-13)
CAP0402_0P1UF_X5R_35V            C179                             306   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C180                             299   1      1   1   1 1           1 0 AVDD_18             (293-10-13)
CAP0402_0P1UF_X5R_35V            C180                             299   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C181                             292   1      1   1   1 1           1 0 1P8V_FLTR_PHY       (293-7-13)
CAP0402_0P1UF_X5R_35V            C181                             292   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C182                             298   1      1   1   1 1           1 0 AVDD_18             (293-10-13)
CAP0402_0P1UF_X5R_35V            C182                             298   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C183                             294   1      1   1   1 1           1 0 1P0V_FLTR_PHY       (293-16-13)
CAP0402_0P1UF_X5R_35V            C183                             294   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C184                             274   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C184                             274   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C185                             275   1      1   1   1 1           1 0 SYS_5P0V            (76-235-13)
CAP0402_0P1UF_X5R_35V            C185                             275   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C186                             280   1      1   1   1 1           1 0 P0_VBUS             (293-28-13)
CAP0402_0P1UF_X5R_35V            C186                             280   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C187                             279   1      1   1   1 1           1 0 SHLD                (1228-24-13)
CAP0402_0P1UF_X5R_35V            C187                             279   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C188                             282   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C188                             282   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C189                             276   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C189                             276   1      2   2   1 2           2 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C190                             285   1      1   1   1 1           1 0 USB_VBUS            (293-39-13)
CAP0402_0P1UF_X5R_35V            C190                             285   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C191                             284   1      1   1   1 1           1 0 SHLD                (1228-24-13)
CAP0402_0P1UF_X5R_35V            C191                             284   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C192                             277   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C192                             277   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C193                             281   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C193                             281   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C194                             283   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C194                             283   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C195                             278   1      1   1   1 1           1 0 SYS_5P0V            (76-235-13)
CAP0402_0P1UF_X5R_35V            C195                             278   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C196                             286   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C196                             286   1      2   2   1 2           2 0 3P3V                (76-222-13)
CAP0402_0P1UF_X5R_35V            C197                             287   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C197                             287   1      2   2   1 2           2 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C198                             270   1      1   1   1 1           1 0 VREFP_0             (261-15-13)
CAP0402_0P1UF_X5R_35V            C198                             270   1      2   2   1 2           2 0 VCC_XADC            (261-10-13)
CAP0402_0P1UF_X5R_35V            C199                             288   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C199                             288   1      2   2   1 2           2 0 1P8V                (3-14-13)
CAP0402_0P1UF_X5R_35V            C200                             289   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP0402_0P1UF_X5R_35V            C200                             289   1      2   2   1 2           2 0 GND                 (3-11-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0402_0P1UF_X5R_35V            C201                             318   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C201                             318   1      2   2   1 2           2 0 DDR_VREF            (7-8-13)
CAP0402_0P1UF_X5R_35V            C202                             317   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C202                             317   1      2   2   1 2           2 0 U2_VREF             (7-210-13)
CAP0402_0P1UF_X5R_35V            C203                             319   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P1UF_X5R_35V            C203                             319   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C204                             320   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C204                             320   1      2   2   1 2           2 0 2P5V                (7-127-13)
CAP0402_0P1UF_X5R_35V            C258                             323   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C258                             323   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C259                             324   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C259                             324   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C260                             325   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C260                             325   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P1UF_X5R_35V            C261                             326   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P1UF_X5R_35V            C261                             326   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C60                              269   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P47UF_X5R               C60                              269   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C61                              268   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P47UF_X5R               C61                              268   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C62                              267   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P47UF_X5R               C62                              267   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C63                              266   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P47UF_X5R               C63                              266   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C64                              206   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C64                              206   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C65                              205   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C65                              205   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C66                              207   1      1   1   1 1           1 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C66                              207   1      2   2   1 2           2 0 3P3V                (76-222-13)
CAP0402_0P47UF_X5R               C67                              208   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P47UF_X5R               C67                              208   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C68                              198   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C68                              198   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C69                              197   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C69                              197   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C70                              196   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P47UF_X5R               C70                              196   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C71                              195   1      1   1   1 1           1 0 1P8V                (3-14-13)
CAP0402_0P47UF_X5R               C71                              195   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C72                              194   1      1   1   1 1           1 0 SYS_5P0V            (76-235-13)
CAP0402_0P47UF_X5R               C72                              194   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C73                              193   1      1   1   1 1           1 0 1P0V                (50-26-13)
CAP0402_0P47UF_X5R               C73                              193   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C74                              192   1      1   1   1 1           1 0 VDD_DSP             (76-210-13)
CAP0402_0P47UF_X5R               C74                              192   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C75                              209   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP0402_0P47UF_X5R               C75                              209   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C76                              191   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP0402_0P47UF_X5R               C76                              191   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C77                              189   1      1   1   1 1           1 0 VDD_ADJ             (1240-32-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
CAP0402_0P47UF_X5R               C77                              189   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C78                              203   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP0402_0P47UF_X5R               C78                              203   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C79                              204   1      1   1   1 1           1 0 3P3V                (76-222-13)
CAP0402_0P47UF_X5R               C79                              204   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C80                              263   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C80                              263   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C81                              264   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C81                              264   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C82                              265   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C82                              265   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C83                              259   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C83                              259   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C84                              260   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C84                              260   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C85                              261   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C85                              261   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C86                              262   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C86                              262   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C87                              200   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C87                              200   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C88                              201   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C88                              201   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C89                              215   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P47UF_X5R               C89                              215   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C90                              202   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C90                              202   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C91                              216   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P47UF_X5R               C91                              216   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C92                              199   1      1   1   1 1           1 0 VDD_GPIO            (7-123-13)
CAP0402_0P47UF_X5R               C92                              199   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C93                              217   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P47UF_X5R               C93                              217   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C94                              219   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P47UF_X5R               C94                              219   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C95                              218   1      1   1   1 1           1 0 2P5V                (7-127-13)
CAP0402_0P47UF_X5R               C95                              218   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C96                              245   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C96                              245   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C97                              246   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C97                              246   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C98                              247   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C98                              247   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C99                              248   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C99                              248   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C100                             249   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C100                             249   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C101                             250   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C101                             250   1      2   2   1 2           2 0 GND                 (3-11-13)
CAP0402_0P47UF_X5R               C102                             251   1      1   1   1 1           1 0 1P35V               (7-209-13)
CAP0402_0P47UF_X5R               C102                             251   1      2   2   1 2           2 0 GND                 (3-11-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
